name,description,initials,teachers
Taller de Formación y Representación III,Taller de Formación y Representación III,AQT0300,['Enrique Del Rio;Jose Romero;Maria Garcia;Alfonso Ahumada']
Taller de Formación IV,Taller de Formación IV,AQT0400,['Luis Bresciani;Nicolas Urzua;Paula Orta;Felipe Alarcon;Carmen Freed']
Taller de Formación V,Taller de Formación V,AQT0500,['Raul Hernandez;Sebastian Paredes;Gonzalo Claro;Felipe Droppelmann']
Taller de Proyecto de Título Marq,Taller de Proyecto de Título Marq,AQT100A,['Emilio De la Cerda']
Taller de Proyecto de Título Mapc,Taller de Proyecto de Título Mapc,AQT100C,['Dino Bozzi']
Taller de Proyecto de Título Mase,Taller de Proyecto de Título Mase,AQT100E,['Felipe Victorero']
Taller de Proyecto de Título Mapa,Taller de Proyecto de Título Mapa,AQT100P,['Andrew Harris']
Taller de Proyecto de Título Mpur,Taller de Proyecto de Título Mpur,AQT100U,['Carolina Katz']
Ciudad y Paisaje I: Introducción a la Forma Urbana y Territorial,Ciudad y Paisaje I: Introducción a la Forma Urbana y Territorial,AQU0000,['Camila Bravo;Jose Rosas;Paula Buglio']
Ciudad y Paisaje Ii: el Proyecto Urbano,Ciudad y Paisaje Ii: el Proyecto Urbano,AQU0200,['Roberto Moris;Valeria Razeto']
Ciudad y Paisaje Iii: Urbanismo Desde el Paisaje,Ciudad y Paisaje Iii: Urbanismo Desde el Paisaje,AQU0300,['Alejandra Vasquez;María Reyes;Gonzalo Quevedo;Aníbal Retamal']
Ciudad y Paisaje Iv: Fenómenos Urbanos Contemporáneos,Ciudad y Paisaje Iv: Fenómenos Urbanos Contemporáneos,AQU0404,['Elke Schlack;Valentina Salgado;David Cantallopts;Carolina Fariña']
Taller de Expresión Plástica e Inconsciente,Taller de Expresión Plástica e Inconsciente,ARO100I,['Veronica Barraza']
Introducción al Arte Contemporáneo,Introducción al Arte Contemporáneo,ARO100T,['Luis Alarcon']
Pintura: Paisaje y Espacio,Pintura: Paisaje y Espacio,ARO101P,['Francisco Schwember']
Animación Desde las Artes Visuales,Animación Desde las Artes Visuales,ARO102M,['Eduardo Elgueta']
Dibujo de Croquis y Boceto,Dibujo de Croquis y Boceto,ARO103D,['Juan Bustamante']
Sistemas Constructivos en Cerámica,Sistemas Constructivos en Cerámica,ARO104E,['Catalina Ramirez']
Pintura: Cruces Interdisciplinarios,Pintura: Cruces Interdisciplinarios,ARO104P,['Ivan Zambrano']
Arte y Patrimonio,Arte y Patrimonio,ARO105C,['Pablo Miranda']
"Dibujo, Espacio y Entorno","Dibujo, Espacio y Entorno",ARO105D,['Jose Leon']
Escultura en Madera: Talla Directa,Escultura en Madera: Talla Directa,ARO105E,['Osvaldo Pena']
Arte Precolombino,Arte Precolombino,ARO105T,['Pablo Miranda']
Semiótica Visual,Semiótica Visual,ARO106T,['Vera Carneiro']
Conservación y Restauración de Arte Moderno y Contemporáneo,Conservación y Restauración de Arte Moderno y Contemporáneo,ARO107C,['Maria Beas']
Litografía,Litografía,ARO107G,['Luis Munita']
Acuarela,Acuarela,ARO107P,['Claudia Missana']
Cmd Conservación Preventiva en Museos,Cmd Conservación Preventiva en Museos,ARO108C,['Maria Beas']
Representaciones del Género: Perspectivas Contemporáneas,Representaciones del Género: Perspectivas Contemporáneas,ARO108I,['Alejandra Wolff']
Creación Fotográfica y Producción Editorial,Creación Fotográfica y Producción Editorial,ARO109F,['Claudia Müller']
"Cmd Patrimonio, Memoria y Derechos Humanos","Cmd Patrimonio, Memoria y Derechos Humanos",ARO110C,['Joseph Gomez']
Fotografía Estenopeica: Cámaras y Procesos,Fotografía Estenopeica: Cámaras y Procesos,ARO110F,['Marcela Moncada']
Libros de Artista,Libros de Artista,ARO110G,['Maria Larrea']
Animación Experimental 3d,Animación Experimental 3d,ARO110M,['Paulina Mujica']
Cmd Arte y Fabricación Digital,Cmd Arte y Fabricación Digital,ARO111M,['Felipe Baeza']
Cmd Memoria del Mundo y Conservación de Archivos,Cmd Memoria del Mundo y Conservación de Archivos,ARO112C,['Fanny Canessa']
"Tiempo, Movimiento y Representación","Tiempo, Movimiento y Representación",ARO113M,['Paulina Mujica']
Apreciación del Arte: Obras y Artistas,Apreciación del Arte: Obras y Artistas,ARO120T,['Efrain Telias']
Cristo y Buda en el Arte,Cristo y Buda en el Arte,ARO121T,['Efrain Telias']
Formulación de Proyectos de Investigación,Formulación de Proyectos de Investigación,ARQ3000,['Alejandro Crispiani;Constanza Larach;Camila Salinas;Maria Faundez']
Problemas de Arquitectura Contemporanea,Problemas de Arquitectura Contemporanea,ARQ3001,['Nicolas Stutzin']
Arquitecturas en America Latina,Arquitecturas en America Latina,ARQ3002,['Gonzalo Carrasco;Francisco Cardemil']
Investigacion Dirigida en Arquitectura,Investigacion Dirigida en Arquitectura,ARQ3008,['Alberto Sato']
Investigación Dirigida en Proyectos de Arquitectura,Investigación Dirigida en Proyectos de Arquitectura,ARQ3009,['Francisco Cardemil']
"Hormigón y Naturaleza. Reología y Exploración de la Forma, Color y las Texturas del Concreto","Hormigón y Naturaleza. Reología y Exploración de la Forma, Color y las Texturas del Concreto",ARQ3023,['Victoria Jolly']
Proyecto y Representación,Proyecto y Representación,ARQ3026,['German Hidalgo']
La Arquitectura de la Gran Ciudad,La Arquitectura de la Gran Ciudad,ARQ3033,['Horacio Torrent']
"Teoría y Práctica Fotográfica: Construcción de Una Lectura Sobre la Arq., la Ciudad y el Paisaje","Teoría y Práctica Fotográfica: Construcción de Una Lectura Sobre la Arq., la Ciudad y el Paisaje",ARQ3054,['Philippe Blanc']
Taller de Especialidad en Arquitectura Marq,Taller de Especialidad en Arquitectura Marq,ARQ3070,['Cristian Izquierdo;Nicolás Navarrete;Alejandra Celedon']
Taller de Investigación y Proyecto Marq,Taller de Investigación y Proyecto Marq,ARQ3071,['Pedro Alonso;Javier Ruiz']
Workshop Internacional de Arquitectura,Workshop Internacional de Arquitectura,ARQ3075,['Alejandro Prieto']
Modos de Producción Arquitectónica: Difusión y Crítica,Modos de Producción Arquitectónica: Difusión y Crítica,ARQ3077,['Rayna Razmilic']
Abriendo el Archivo. Fomentando Investigaciones Colectivas Desde el Archivo de Originales,Abriendo el Archivo. Fomentando Investigaciones Colectivas Desde el Archivo de Originales,ARQ3090,['María García']
Totalizadores,Totalizadores,ARQ3097,['Juan Amunategui']
La Oficina Como Proyecto,La Oficina Como Proyecto,ARQ3099,['Marcelo Cox']
Herramientas de Investigación,Herramientas de Investigación,ARQ3100,['Alejandro Crispiani']
Gestacion y Ciclo de Vida del Proyecto,Gestacion y Ciclo de Vida del Proyecto,ARQ3102,['Luis Bresciani']
Taller Integrado de Gestión y Dirección de Proyectos Inmobiliarios Complejos,Taller Integrado de Gestión y Dirección de Proyectos Inmobiliarios Complejos,ARQ3103,['Sylvia Valenzuela']
Aproximaciones Tipológicas,Aproximaciones Tipológicas,ARQ3105,['Guillermo Hevia']
Argumentos Proyectuales,Argumentos Proyectuales,ARQ3109,['Francisco Cardemil']
"Creando Patrimonio: Activación, Manejo y Financiamiento","Creando Patrimonio: Activación, Manejo y Financiamiento",ARQ3202,['Jose De Nordenflycht']
Taller Patrimonio y Ciudad,Taller Patrimonio y Ciudad,ARQ3204,['Lorena Perez;Ricardo Greene']
Proyecto de Graduación,Proyecto de Graduación,ARQ3205,['Joseph Gomez;Francisco Prado;Carolina Aguilera']
Ciudad y Memoria,Ciudad y Memoria,ARQ3219,['Carolina Aguilera']
Patrimonio Cultural Inmaterial,Patrimonio Cultural Inmaterial,ARQ3227,['Adolfo Albornoz']
"Paisajes Culturales. Conceptos y Métodos para Su Gestión, Planificación y Diseño","Paisajes Culturales. Conceptos y Métodos para Su Gestión, Planificación y Diseño",ARQ3228,['Claudia Larraín;Eugenio Garces']
Visualización y Representación de Paisajes,Visualización y Representación de Paisajes,ARQ3230,['Consuelo Roldán']
Dronescapes: Tecnologías Avanzadas para la Caracterización Ambiental y Cultural del Paisaje,Dronescapes: Tecnologías Avanzadas para la Caracterización Ambiental y Cultural del Paisaje,ARQ3234,['Camila Romero;Tomás Bravo']
Terremotos y Patrimonio Construido,Terremotos y Patrimonio Construido,ARQ3240,['Marco Barrientos']
"Exhibiciones en Espacios Culturales: Discursos, Planificación y Diseño","Exhibiciones en Espacios Culturales: Discursos, Planificación y Diseño",ARQ3250,['Pablo Brugnoli']
Cátedra de Santiago: Reflexiones y Registros Sobre la Forma Urbis,Cátedra de Santiago: Reflexiones y Registros Sobre la Forma Urbis,ARQ3253,['Jose Rosas;Pedro Bannen']
Maritorios Patagónicos: Diseño y Extensión Territorial Desde Una Perspectiva Interdisciplinaria,Maritorios Patagónicos: Diseño y Extensión Territorial Desde Una Perspectiva Interdisciplinaria,ARQ3257,['Francisco Chateau;Germán Guzmán']
Proyecto de Paisaje,Proyecto de Paisaje,ARQ3301,['Ana Arizaga']
Material Vegetal,Material Vegetal,ARQ3306,['Maria Fernandez']
"Land+Scape. Reflexiones en Torno al Análisis, Representación y Proyecto de Paisaje","Land+Scape. Reflexiones en Torno al Análisis, Representación y Proyecto de Paisaje",ARQ3318,['Alejandra Bosch']
Espacio Público e Infraestructuras Resilientes Ante el Cambio Climático,Espacio Público e Infraestructuras Resilientes Ante el Cambio Climático,ARQ3324,['Tomas Gomez;Macarena Gaete']
Taller de Especialidad en Arquitectura del Paisaje,Taller de Especialidad en Arquitectura del Paisaje,ARQ3350,['Alejandra Bosch;Paula Livingstone']
Taller de Investigación y Proyecto en Arquitectura del Paisaje,Taller de Investigación y Proyecto en Arquitectura del Paisaje,ARQ3351,['Osvaldo Moreno;Ana Arizaga']
Taller de Investigación Avanzada Mapa,Taller de Investigación Avanzada Mapa,ARQ3352,['Gloria Saravia']
Diseño de Paisajes en Zonas Áridas,Diseño de Paisajes en Zonas Áridas,ARQ3354,['Lia Aliaga']
Proyecto Urbano Contemporáneo: Teoría y Crítica,Proyecto Urbano Contemporáneo: Teoría y Crítica,ARQ3502,['Antonio Lipthay']
Gestion del Proyecto Urbano,Gestion del Proyecto Urbano,ARQ3506,['Orlando Mingo;Valentina Gaido']
Urbanismo Cotidiano,Urbanismo Cotidiano,ARQ3507,['Ernesto Silva']
Herramientas para la Regeneración Urbano-Habitacional de Territorios Vulnerables,Herramientas para la Regeneración Urbano-Habitacional de Territorios Vulnerables,ARQ3537,['Nestor Tapia;Fernanda Gomez']
Vivienda y Desarrollo en Densidad,Vivienda y Desarrollo en Densidad,ARQ3538,['Gabriel Aguilera;Cristian Palma']
Del Plan Regulador al Diseño Urbano,Del Plan Regulador al Diseño Urbano,ARQ3543,['Manola Ogalde']
Tópicos de Vivienda Social,Tópicos de Vivienda Social,ARQ3544,['Jose Di Girolamo']
Taller de Especialidad en Proyecto Urbano,Taller de Especialidad en Proyecto Urbano,ARQ3550,['Antonio Lipthay;Nicole Rochette']
Taller de Investigación y Proyecto Urbano,Taller de Investigación y Proyecto Urbano,ARQ3551,['Sebastian Gray;Jose Di Girolamo']
Taller de Investigación Avanzada Mpur,Taller de Investigación Avanzada Mpur,ARQ3552,['Ricardo Abuauad']
Taller de Especialidades Mase,Taller de Especialidades Mase,ARQ3601,['Claudio Vasquez;Lucas Vasquez']
Taller de Investigación y Proyecto Mase,Taller de Investigación y Proyecto Mase,ARQ3602,['Felipe Encinas;Alejandra Schueftan']
Taller de Investigación Avanzada Marq,Taller de Investigación Avanzada Marq,ARQ3603,['Rodrigo Perez de Arce']
Taller de Investigación Avanzada Mase,Taller de Investigación Avanzada Mase,ARQ3604,['Diego Palma']
Energía y Eficiencia,Energía y Eficiencia,ARQ3605,['Pablo Sills;Felipe Victorero']
Evaluación de Estrategias de Diseño Arquitectónico Energeticamente Eficientes,Evaluación de Estrategias de Diseño Arquitectónico Energeticamente Eficientes,ARQ3606,['Waldo Bustamante;Diego Palma']
Técnicas y Procesos de Construcción en Madera,Técnicas y Procesos de Construcción en Madera,ARQ3626,['Andres Sierra']
"Revalorización, Reutilización y Reciclaje de Materiales de Construcción en Arquitectura","Revalorización, Reutilización y Reciclaje de Materiales de Construcción en Arquitectura",ARQ3634,"[""Renato D'Alencon""]"
Laboratorio de Sustentabilidad,Laboratorio de Sustentabilidad,ARQ3639,['Lucas Vasquez']
"Co2, Energía Incorporada y Edificios","Co2, Energía Incorporada y Edificios",ARQ3640,['Diego Palma']
Laboratorio Solar,Laboratorio Solar,ARQ3642,['Camila Da Rocha']
Herramientas de Análisis de Datos para la Investigación en Arquitectura Sustentable,Herramientas de Análisis de Datos para la Investigación en Arquitectura Sustentable,ARQ3652,['Felipe Encinas']
Las Envolventes y la Edificacion,Las Envolventes y la Edificacion,ARQ3711,['Javier Del Rio']
Diseño Paramétrico de Estrategias Sustentables,Diseño Paramétrico de Estrategias Sustentables,ARQ3715,['Eloy Bahamondes']
Modelación y Simulación: del Modelo Arquitectónico al Territorio y Paisaje,Modelación y Simulación: del Modelo Arquitectónico al Territorio y Paisaje,ARQ3900,['Andrew Harris']
Artes Visuales Hoy,Artes Visuales Hoy,ART0400,['Paula Salas;Luis Alarcon']
Práctica y Teoría del Color,Práctica y Teoría del Color,ART0401,['Rodrigo Galecio']
Pensamiento Visual,Pensamiento Visual,ART0402,['Jose Vielva']
Dibujo,Dibujo,ART0403,['Danilo Espinoza']
Artes Mediales,Artes Mediales,ART0404,['Valentina Serrati']
Artes Visuales y Modernidad,Artes Visuales y Modernidad,ART0500,['Claudia Campana']
Taller Central,Taller Central,ART0501,['Ivan Zambrano']
Taller Central,Taller Central,ART0503,['Jorge Padilla']
Taller de Permanencia I,Taller de Permanencia I,ART0600,['Gaston Laval']
Seminario de Grado I,Seminario de Grado I,ART0602,['Ignacio Villegas']
Diálogos: Práctica Artística I,Diálogos: Práctica Artística I,ART0604,['Jose Vielva']
Textos de Arte,Textos de Arte,ART0606,['Patricia Herrera']
Dibujo Experimental,Dibujo Experimental,ART200D,['Macarena Rioseco']
Sistemas Constructivos,Sistemas Constructivos,ART200E,['Jose Rivas']
Fotografía Digital Aplicada,Fotografía Digital Aplicada,ART200F,['Patricia Novoa;Marcela Moncada']
Imagen Impresa,Imagen Impresa,ART200G,['Luis Munita']
Dispositivos Ópticos,Dispositivos Ópticos,ART200M,['Felipe Baeza']
Iniciación a la Práctica de la Pintura,Iniciación a la Práctica de la Pintura,ART200P,['Gerardo Pulido']
"Escultura, Cuerpo y Objeto","Escultura, Cuerpo y Objeto",ART201E,['Osvaldo Pena']
Procesos Gráficos y Medios de Impresión,Procesos Gráficos y Medios de Impresión,ART201G,['Jorge Padilla']
Taller de Video Arte,Taller de Video Arte,ART201M,['Roberto Farriol']
Práctica de la Pintura,Práctica de la Pintura,ART201P,['Ricardo Fuentealba']
Historia del Arte Chileno,Historia del Arte Chileno,ART210T,['Victor Diaz']
Seminario Monográfico,Seminario Monográfico,ART212T,['Efrain Telias']
Seminario Arte Contemporáneo: Paradigmas de Análisis,Seminario Arte Contemporáneo: Paradigmas de Análisis,ART3012,['Cristian Salineros']
Taller de Obra 1,Taller de Obra 1,ART3017,['Monica Bengoa']
Problemas del Arte Latinoamericano Contemporáneo,Problemas del Arte Latinoamericano Contemporáneo,ART4004,['Sebastian Vidal']
Astrobiología,Astrobiología,ASP5022,['Thomas Puzia']
Astrofísica Extragaláctica Avanzada,Astrofísica Extragaláctica Avanzada,ASP5302,['Franz Bauer']
Radioastronomía,Radioastronomía,ASP5401,['Rolando Dunner;Juan Fluxa']
Fundamentos de Instrumentación Astronómica,Fundamentos de Instrumentación Astronómica,ASP5407,['Leonardo Vanzi']
Introducción a la Astroquímica,Introducción a la Astroquímica,ASP5555,['Viviana Guzman']
Examen de Calificación,Examen de Calificación,ASP9002,['Dirección Docente']
Actividad Anual de Seguimiento I,Actividad Anual de Seguimiento I,ASP9004,['Dirección Docente']
Actividad Anual de Seguimiento II,Actividad Anual de Seguimiento II,ASP9005,['Dirección Docente']
Autoría Artículo Científico o Patente,Autoría Artículo Científico o Patente,ASP9006,['Dirección Docente']
Pasantía,Pasantía,ASP9007,['Dirección Docente']
Procesos Físicos en Astrofísica,Procesos Físicos en Astrofísica,ASP9110,['Gaspar Galaz']
Seminario de Astrofísica,Seminario de Astrofísica,ASP9120,['Claudia Aguilera']
Trabajo de Investigación a,Trabajo de Investigación a,ASP9201,['Marcio Catelan']
Trabajo de Investigación B,Trabajo de Investigación B,ASP9202,['Julio Chaname']
Trabajo de Investigación C,Trabajo de Investigación C,ASP9203,['Patricia Tissera']
Versatilidad en la Investigación,Versatilidad en la Investigación,ASP9204,['Dirección Docente']
Fronteras de la Astrofísica B,Fronteras de la Astrofísica B,ASP9302,['Alejandro Clocchiatti;Luis Barrientos;Franz Bauer;Marcio Catelan;Manuela Zoccali;Gaspar Galaz;Viviana Guzman;Cristobal Petrovich;Patricia Tissera;Claudia Aguilera;Rolando Dunner']
Fronteras de la Astrofísica C,Fronteras de la Astrofísica C,ASP9303,['Alejandro Clocchiatti;Luis Barrientos;Franz Bauer;Marcio Catelan;Manuela Zoccali;Gaspar Galaz;Viviana Guzman;Cristobal Petrovich;Patricia Tissera;Claudia Aguilera;Rolando Dunner']
Fronteras de la Astrofísica a,Fronteras de la Astrofísica a,ASP9304,['Alejandro Clocchiatti;Luis Barrientos;Franz Bauer;Marcio Catelan;Manuela Zoccali;Gaspar Galaz;Viviana Guzman;Cristobal Petrovich;Patricia Tissera;Claudia Aguilera;Rolando Dunner']
Fronteras de la Astrofísica C,Fronteras de la Astrofísica C,ASP9306,['Alejandro Clocchiatti;Luis Barrientos;Franz Bauer;Marcio Catelan;Manuela Zoccali;Gaspar Galaz;Viviana Guzman;Cristobal Petrovich;Patricia Tissera;Claudia Aguilera;Rolando Dunner']
Tesis de Magíster,Tesis de Magíster,ASP9400,['Thomas Puzia']
Tesis de Doctorado I,Tesis de Doctorado I,ASP9721,['Franz Bauer']
Tesis de Doctorado II,Tesis de Doctorado II,ASP9722,['Viviana Guzman']
Tesis de Doctorado III,Tesis de Doctorado III,ASP9723,['Cristobal Petrovich']
Tesis de Doctorado IV,Tesis de Doctorado IV,ASP9724,['Thomas Puzia']
Astronomia,Astronomia,AST0111,['Jorge Gonzalez']
Astronomy,Astronomy,AST0112,['Doris Stoppacher']
Introducción al Analisis de Datos,Introducción al Analisis de Datos,AST0212,['Alejandro Clocchiatti']
Astrofisica General,Astrofisica General,AST0311,['Marcio Catelan']
Astrofisica Extragalactica,Astrofisica Extragalactica,AST0411,['Patricia Tissera']
Practica de Licenciatura,Practica de Licenciatura,AST0511,['Luis Barrientos']
Un Paseo por el Universo,Un Paseo por el Universo,AST101,['Luis Barrientos']
